category,website,name,brand,image_urls,affiliate_link,images,price,sub_category
Skin Care,http://www.cultbeauty.co.uk,Velvet Skin Brightening Serum,Su-Man Skincare,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/s/u/sum004_velvetskinbrighteningserum_sizedproduct_800x960.jpg,http://www.cultbeauty.co.uk//su-man-skincare-velvet-skin-brightening-serum.html#c=8-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/s/u/sum004_velvetskinbrighteningserum_sizedproduct_800x960.jpg', 'path': 'full/6f6fc1b3e020dc7f2883b1a21769818f09fbd218.jpg', 'checksum': 'ecfdb3c5d67b45eff096afa7aa6f89e9'}]",£98.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Velvet Skin Brightening Serum,Su-Man Skincare,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/s/u/sum004_velvetskinbrighteningserum_sizedproduct_800x960.jpg,http://www.cultbeauty.co.uk//su-man-skincare-velvet-skin-brightening-serum.html#c=26-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/s/u/sum004_velvetskinbrighteningserum_sizedproduct_800x960.jpg', 'path': 'full/6f6fc1b3e020dc7f2883b1a21769818f09fbd218.jpg', 'checksum': 'ecfdb3c5d67b45eff096afa7aa6f89e9'}]",£98.00,Natural
Skin Care,http://www.cultbeauty.co.uk,Classic Set,QMS Medicosmetics,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/q/m/qms003_qms_classic-collagen-set_780x980.jpg,http://www.cultbeauty.co.uk//qms-medicosmetics-classic-set.html#c=8-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/q/m/qms003_qms_classic-collagen-set_780x980.jpg', 'path': 'full/b15eae2acb222e5706f23f0dad9f81baeccabc13.jpg', 'checksum': '2e65db156f08932da828f0ca593229f0'}]",£171.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Brilliance Facial Oil,Emma Hardie Amazing Face,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/e/m/emh012_emmahardie_brillianceoil_780x980.jpg,http://www.cultbeauty.co.uk//emma-hardie-amazing-face-brilliance-facial-oil.html#c=7-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/e/m/emh012_emmahardie_brillianceoil_780x980.jpg', 'path': 'full/3d79646a7bfaa272cfdb2f73dc0fc49f5e92a3e6.jpg', 'checksum': 'eee3b63f0d8d02a07221eab305823374'}]",£31.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Brilliance Facial Oil,Emma Hardie Amazing Face,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/e/m/emh012_emmahardie_brillianceoil_780x980.jpg,http://www.cultbeauty.co.uk//emma-hardie-amazing-face-brilliance-facial-oil.html#c=14-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/e/m/emh012_emmahardie_brillianceoil_780x980.jpg', 'path': 'full/3d79646a7bfaa272cfdb2f73dc0fc49f5e92a3e6.jpg', 'checksum': 'eee3b63f0d8d02a07221eab305823374'}]",£31.00,Natural
Skin Care,http://www.cultbeauty.co.uk,Absolute Anti Ageing Face Oil,Uma,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/u/m/uma003_uma_antiageingfaceoil_780x980.jpg,http://www.cultbeauty.co.uk//uma-absolute-anti-ageing-face-oil.html#c=8-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/u/m/uma003_uma_antiageingfaceoil_780x980.jpg', 'path': 'full/212a1c0c54a1eef48bf615ba3a94dbf29ae6d8a0.jpg', 'checksum': 'dd13243a46a03c99156941dd8434d722'}]",£135.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Absolute Anti Ageing Face Oil,Uma,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/u/m/uma003_uma_antiageingfaceoil_780x980.jpg,http://www.cultbeauty.co.uk//uma-absolute-anti-ageing-face-oil.html#c=5-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/u/m/uma003_uma_antiageingfaceoil_780x980.jpg', 'path': 'full/212a1c0c54a1eef48bf615ba3a94dbf29ae6d8a0.jpg', 'checksum': 'dd13243a46a03c99156941dd8434d722'}]",£135.00,Moisturisers
Skin Care,http://www.cultbeauty.co.uk,Absolute Anti Ageing Face Oil,Uma,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/u/m/uma003_uma_antiageingfaceoil_780x980.jpg,http://www.cultbeauty.co.uk//uma-absolute-anti-ageing-face-oil.html#c=7-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/u/m/uma003_uma_antiageingfaceoil_780x980.jpg', 'path': 'full/212a1c0c54a1eef48bf615ba3a94dbf29ae6d8a0.jpg', 'checksum': 'dd13243a46a03c99156941dd8434d722'}]",£135.00,Natural
Skin Care,http://www.cultbeauty.co.uk,3t Complex Essential Anti-Aging Cream,Zelens,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/z/e/zel003_zelens_3tcomplexessentialantiageingcream_sizedproduct_800x960.jpg,http://www.cultbeauty.co.uk//zelens-3t-complex-essential-anti-ageing-cream.html#c=10-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/z/e/zel003_zelens_3tcomplexessentialantiageingcream_sizedproduct_800x960.jpg', 'path': 'full/badfdc0fded2c262afdab62da5dd4c0500bdedf7.jpg', 'checksum': '2657d7fab667857e9b664e82b8da0753'}]",£95.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Spontaneous Recovery Crème,Tammy Fender,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/t/f/tfn007_tammyfender_spontaneousrecoverycreme_780x980_1.jpg,http://www.cultbeauty.co.uk//tammy-fender-spontaneous-recovery-creme.html#c=10-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/t/f/tfn007_tammyfender_spontaneousrecoverycreme_780x980_1.jpg', 'path': 'full/d36ee24af4268a876f143dc543cd8d754aeaeb54.jpg', 'checksum': '34820749c9c8890c35bf8eba94372a17'}]",£120.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Spontaneous Recovery Crème,Tammy Fender,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/t/f/tfn007_tammyfender_spontaneousrecoverycreme_780x980_1.jpg,http://www.cultbeauty.co.uk//tammy-fender-spontaneous-recovery-creme.html#c=8-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/t/f/tfn007_tammyfender_spontaneousrecoverycreme_780x980_1.jpg', 'path': 'full/d36ee24af4268a876f143dc543cd8d754aeaeb54.jpg', 'checksum': '34820749c9c8890c35bf8eba94372a17'}]",£120.00,Moisturisers
Skin Care,http://www.cultbeauty.co.uk,Spontaneous Recovery Crème,Tammy Fender,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/t/f/tfn007_tammyfender_spontaneousrecoverycreme_780x980_1.jpg,http://www.cultbeauty.co.uk//tammy-fender-spontaneous-recovery-creme.html#c=27-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/t/f/tfn007_tammyfender_spontaneousrecoverycreme_780x980_1.jpg', 'path': 'full/d36ee24af4268a876f143dc543cd8d754aeaeb54.jpg', 'checksum': '34820749c9c8890c35bf8eba94372a17'}]",£120.00,Natural
Skin Care,http://www.cultbeauty.co.uk,Liquid Gold Intensive Night Repair Serum,Alpha-H,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/a/l/alp019_alpha-h_liquidgoldintensivenightrepairserum_780x980.jpg,http://www.cultbeauty.co.uk//alpha-h-liquid-gold-intensive-night-repair-serum.html#c=9-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/a/l/alp019_alpha-h_liquidgoldintensivenightrepairserum_780x980.jpg', 'path': 'full/80ab144f43c38ac0b7ba8d407794c6fba2d36c78.jpg', 'checksum': '3d4aeb9a5b3a1478b87ffb84b28152e8'}]",£51.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Liquid Gold Intensive Night Repair Serum,Alpha-H,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/a/l/alp019_alpha-h_liquidgoldintensivenightrepairserum_780x980.jpg,http://www.cultbeauty.co.uk//alpha-h-liquid-gold-intensive-night-repair-serum.html#c=2-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/a/l/alp019_alpha-h_liquidgoldintensivenightrepairserum_780x980.jpg', 'path': 'full/80ab144f43c38ac0b7ba8d407794c6fba2d36c78.jpg', 'checksum': '3d4aeb9a5b3a1478b87ffb84b28152e8'}]",£51.00,Night Time
Skin Care,http://www.cultbeauty.co.uk,Liquid Gold Perfecting Daywear,Alpha-H,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/a/l/alp020_alpha-h_liquidgoldperfectingdaywear_800x960.jpg,http://www.cultbeauty.co.uk//alpha-h-liquid-gold-perfecting-daywear.html#c=9-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/a/l/alp020_alpha-h_liquidgoldperfectingdaywear_800x960.jpg', 'path': 'full/2e070ebe1cb259741efb63f2962eec17254f0287.jpg', 'checksum': '296a418600fcf028600a5cd7297a8525'}]",£41.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Super Facial Oil,Verso,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/v/e/ver009_verso_superfacialoil_780x980.jpg,http://www.cultbeauty.co.uk//verso-super-facial-oil.html#c=9-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/v/e/ver009_verso_superfacialoil_780x980.jpg', 'path': 'full/a189a523e73019846ceb2725d330a489afabf7b8.jpg', 'checksum': 'beb407750db49a036a4f9a96459182b0'}]",£135.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Super Facial Oil,Verso,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/v/e/ver009_verso_superfacialoil_780x980.jpg,http://www.cultbeauty.co.uk//verso-super-facial-oil.html#c=7-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/v/e/ver009_verso_superfacialoil_780x980.jpg', 'path': 'full/a189a523e73019846ceb2725d330a489afabf7b8.jpg', 'checksum': 'beb407750db49a036a4f9a96459182b0'}]",£135.00,Moisturisers
Skin Care,http://www.cultbeauty.co.uk,Eight Hour Cream Sun Defense for Face SPF 50,Elizabeth Arden,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/e/i/eighthourcreamsundefenseforfacespf50_50ml.jpg,http://www.cultbeauty.co.uk//elizabeth-arden-eight-hour-cream-sun-defense-for-face-spf50.html#c=10-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/e/i/eighthourcreamsundefenseforfacespf50_50ml.jpg', 'path': 'full/a8a69cf92228d3f31b1748566d6eb183ac93defd.jpg', 'checksum': '8f8e41e71f52a7fcb0e3b0d9c2907918'}]",£26.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Eight Hour Cream Sun Defense for Face SPF 50,Elizabeth Arden,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/e/i/eighthourcreamsundefenseforfacespf50_50ml.jpg,http://www.cultbeauty.co.uk//elizabeth-arden-eight-hour-cream-sun-defense-for-face-spf50.html#c=0-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/e/i/eighthourcreamsundefenseforfacespf50_50ml.jpg', 'path': 'full/a8a69cf92228d3f31b1748566d6eb183ac93defd.jpg', 'checksum': '8f8e41e71f52a7fcb0e3b0d9c2907918'}]",£26.00,SPF & Self Tanners
Skin Care,http://www.cultbeauty.co.uk,Eight Hour Cream Sun Defense for Face SPF 50,Elizabeth Arden,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/e/i/eighthourcreamsundefenseforfacespf50_50ml.jpg,http://www.cultbeauty.co.uk//elizabeth-arden-eight-hour-cream-sun-defense-for-face-spf50.html#c=8-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/e/i/eighthourcreamsundefenseforfacespf50_50ml.jpg', 'path': 'full/a8a69cf92228d3f31b1748566d6eb183ac93defd.jpg', 'checksum': '8f8e41e71f52a7fcb0e3b0d9c2907918'}]",£26.00,Moisturisers
Skin Care,http://www.cultbeauty.co.uk,Radiance Perfecting Serum,REN,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/r/e/ren022_ren_radianceperfectionserum__800x960.jpg,http://www.cultbeauty.co.uk//ren-radiance-perfecting-serum.html#c=11-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/r/e/ren022_ren_radianceperfectionserum__800x960.jpg', 'path': 'full/f2e3043ac693ee11e6408c1d58adcb09373a2a2f.jpg', 'checksum': 'a371a629806e4f50ae5ab832ad257817'}]",£35.00,Anti-ageing
Skin Care,http://www.cultbeauty.co.uk,Radiance Perfecting Serum,REN,http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/r/e/ren022_ren_radianceperfectionserum__800x960.jpg,http://www.cultbeauty.co.uk//ren-radiance-perfecting-serum.html#c=22-category,"[{'url': 'http://d10qoa1dy3vloz.cloudfront.net/resized/400x440/media/catalog/product/r/e/ren022_ren_radianceperfectionserum__800x960.jpg', 'path': 'full/f2e3043ac693ee11e6408c1d58adcb09373a2a2f.jpg', 'checksum': 'a371a629806e4f50ae5ab832ad257817'}]",£35.00,Natural
